segment,specialty,state,provider_count,avg_services,avg_payment
Low Volume High Value,Gynecological Oncology,TX,21,332.0,159.61776745788134
High Volume Low Value,Allergy/ Immunology,NY,158,5261.951898734176,52.14035683342144
Low Volume High Value,Gynecological Oncology,PA,33,280.6969696969697,172.39509126426321
Low Volume High Value,Medical Genetics and Genomics,CA,5,64.6,131.82576568035
High Volume Low Value,Hematopoietic Cell Transplantation and Cellular Therapy,FL,1,101129.0,33.309547074841795
High Volume Low Value,Neurosurgery,NY,5,1869.6,76.48875626436678
Low Volume Low Value,Pediatric Medicine,CA,105,253.96190476190475,59.522210906346835
Low Volume Low Value,Maxillofacial Surgery,CA,19,140.89473684210526,71.4704219649617
Low Volume High Value,Optometry,FL,71,90.50704225352112,109.91547208893248
High Volume Low Value,Pharmacy,FL,46,182133.19565217392,32.68807215874552
High Volume High Value,Vascular Surgery,TX,61,4049.098360655738,395.46434763305365
High Volume High Value,Cardiology,FL,399,6059.912781954888,184.37008400164186
High Volume Low Value,Audiologist,CA,35,2518.285714285714,36.62006093534418
Low Volume High Value,Cardiac Surgery,NY,66,192.24242424242425,531.4494857485345
High Volume High Value,Physician Assistant,CA,45,5392.8,132.65841456205038
Low Volume High Value,Interventional Radiology,PA,17,480.94117647058823,118.0880479034811
High Volume Low Value,Hospice and Palliative Care,CA,7,8369.0,86.18010194961968
High Volume Low Value,Plastic and Reconstructive Surgery,TX,5,2462.8,64.57725442127497
High Volume High Value,Peripheral Vascular Disease,FL,6,2464.6666666666665,571.836628685158
High Volume Low Value,Ambulance Service Provider,FL,4,17496.399999999998,84.81765006879999
Low Volume Low Value,Medicare Diabetes Preventive Program,FL,1,15.0,34.486666667
Low Volume Low Value,Neurology,PA,436,343.1834862385321,80.15608409797942
High Volume Low Value,Pulmonary Disease,TX,300,2872.6,70.75883426019284
High Volume Low Value,Hospitalist,NY,131,2605.412213740458,86.59694507217162
Low Volume High Value,Thoracic Surgery,PA,118,204.8728813559322,347.53821107783085
High Volume High Value,Physical Medicine and Rehabilitation,NY,111,4183.954954954955,120.27960788846198
Low Volume High Value,Infectious Disease,FL,55,490.5090909090909,109.98659216401164
Low Volume High Value,Diagnostic Radiology,PA,18,414.72222222222223,200.95228213226721
High Volume Low Value,Physical Therapist in Private Practice,CA,4238,3412.4797074091553,34.7798745309208
Low Volume Low Value,Mass Immunizer Roster Biller,TX,1285,507.4941634241245,49.89502511027485
High Volume Low Value,Interventional Cardiology,TX,203,3184.0694581280786,77.60655589408249
Low Volume Low Value,Centralized Flu,TX,203,667.384236453202,45.809632032058325
Low Volume Low Value,Nephrology,NY,151,394.3907284768212,79.12851264540242
Low Volume Low Value,Gastroenterology,NY,298,325.9731543624161,82.87943240057861
Low Volume Low Value,Speech Language Pathologist,CA,75,232.82666666666665,67.26539512852547
High Volume Low Value,Medical Oncology,NY,57,49575.52631578947,55.08506333105411
High Volume High Value,Optometry,TX,23,2915.521739130435,134.63745676862555
Low Volume High Value,Physical Therapist in Private Practice,FL,1,66.0,106.556444446
Low Volume High Value,Mass Immunizer Roster Biller,PA,1,62.0,266.64645161
Low Volume Low Value,Chiropractic,TX,1316,367.2674772036474,26.63687095567644
High Volume Low Value,Physical Therapist in Private Practice,PA,2042,3015.586141038198,31.119453214553275
Low Volume Low Value,General Surgery,TX,594,157.34848484848484,77.63359388880579
High Volume Low Value,Centralized Flu,CA,523,2942.772466539197,50.73191309110174
Low Volume Low Value,Interventional Radiology,TX,68,424.8235294117647,56.718350879403154
Low Volume Low Value,Otolaryngology,NY,246,400.7113821138211,75.0850714442608
Low Volume Low Value,Otolaryngology,PA,159,430.9937106918239,72.06346156466185
Low Volume High Value,Plastic and Reconstructive Surgery,NY,133,248.26315789473685,253.5792313990784
High Volume High Value,Medical Oncology,FL,3,1322.3333333333333,104.94050155942062
High Volume Low Value,Colorectal Surgery (Proctology),CA,1,1007.0,57.446070928607696
Low Volume Low Value,Physical Therapist in Private Practice,FL,771,547.3757457846953,27.845189600994946
Low Volume Low Value,Physical Therapist in Private Practice,NY,1720,526.1424418604652,29.927176016859367
Low Volume Low Value,"Psychologist, Clinical",NY,521,353.10364683301344,79.45756730487462
Low Volume High Value,Thoracic Surgery,NY,134,261.17910447761193,348.7775283412662
Low Volume Low Value,Dermatology,TX,172,519.7151162790698,58.62657679577967
Low Volume High Value,Medical Oncology,NY,229,429.6157205240175,117.87098494218955
Low Volume Low Value,Infectious Disease,NY,240,282.2875,81.97056239648097
Low Volume Low Value,Endocrinology,FL,177,421.1525423728813,74.39860090067798
