specialty,unique_providers,total_services,total_beneficiaries,avg_medicare_payment,avg_submitted_charge,payment_ratio
Clinical Laboratory,1056,118850183.00000003,58776256,43.31328179013181,131.277949287388,33.0
Hematology-Oncology,3118,98219874.4,4323288,55.83201944830854,229.09862394181528,24.4
Diagnostic Radiology,11221,76848291.5,25850032,55.198019333728666,362.99821342954175,15.2
Internal Medicine,32814,53794346.5,23544772,71.40026428086927,232.45982538911153,30.7
Rheumatology,1803,52117169.800000004,1908601,50.5822698538039,171.8164409379506,29.4
Physical Therapist in Private Practice,20500,50923322.49999999,5661343,32.70587141630621,89.66681265695786,36.5
Pharmacy,984,33559657.2,1189799,47.98835406222842,78.33916705574251,61.3
Family Practice,25189,33254669.999999996,16116090,59.805624540205045,175.0789516855878,34.2
Ambulance Service Provider,2101,31828750.499999993,4179970,283.92605070266256,1344.8459548047088,21.1
Medical Oncology,1452,28981099.0,1284814,60.639775298423224,270.65508397164245,22.4
Nurse Practitioner,43056,28615193.5,11225162,57.96913467542453,231.7969953809176,25.0
Cardiology,7547,24443172.799999997,14528138,107.29391413550198,422.81274400303766,25.4
Ophthalmology,6542,21605555.5,11375927,129.98670279097496,501.257004544368,25.9
Infectious Disease,2226,20247445.0,1096395,90.01410821047928,294.980786831571,30.5
Mass Immunizer Roster Biller,9933,19882232.7,7761188,54.994596346732074,62.86151353754329,87.5
Urology,3204,19820078.6,4953370,107.28590673859641,499.0414189046494,21.5
Dermatology,4749,19761431.9,8778068,116.16791270117916,347.5121215289573,33.4
Neurology,5725,17436207.7,2854562,106.54148453232712,441.1175222449424,24.2
Physician Assistant,27907,17256625.1,8310697,59.8768236229363,350.5048860289254,17.1
Orthopedic Surgery,6872,16276110.1,5667800,158.22990446815828,888.2095396887821,17.8
