specialty,hcpcs_desc,total_services,avg_medicare_payment,unique_providers
Clinical Laboratory,Hepatitis c antibody measurement,192003.0,13.958207691743652,126
Diagnostic Radiology,"X-ray of abdomen, minimum of 3 views",3617.0,13.056809533287273,159
Hematology-Oncology,"Established patient office or other outpatient visit, 10-19 minutes",25691.0,39.87325204076616,325
Diagnostic Radiology,Ct scan of abdomen and pelvis before and after contrast,142524.0,144.53876622299813,3327
Clinical Laboratory,Bacterial urine culture,734157.0,7.907390772778571,112
Hematology-Oncology,Reticulated (young) platelet measurement,10476.0,35.13551522863025,119
Diagnostic Radiology,Ct scan of chest before and after contrast,10733.0,96.61590058704545,363
Family Practice,Administration of pneumococcal vaccine,121496.0,30.044533440008795,4836
Diagnostic Radiology,Limited ultrasound scan of 1 breast,190813.0,39.9293008353444,2499
Internal Medicine,"Influenza vaccine, quadrivalent, 0.5 ml dosage",35383.0,19.95274481122275,730
Hematology-Oncology,"Injection, zoledronic acid, 1 mg",86087.0,5.4100591637976105,502
Family Practice,Adm sarscov2 30mcg/0.3ml bst,7284.0,39.71675379099113,224
Rheumatology,Measurement c-reactive protein for detection of infection or inflammation,79464.0,5.0768562701413416,179
Hematology-Oncology,"Injection, aprepitant, 1 mg",2158520.0,1.3479284025266307,184
Diagnostic Radiology,"X-ray of middle spine, 3 views",19211.0,15.356989260633023,824
Family Practice,"Influenza vaccine, quadrivalent derived from recombinant dna",32025.0,59.697271779780266,678
Clinical Laboratory,"Bacterial colony count, urine",1479869.0,7.919885454958391,149
Family Practice,Inhalation treatment for airway obstruction or sputum production,5401.0,8.817464710267569,185
Diagnostic Radiology,Diagnostic mammography of both breasts,190167.0,66.28338231328327,2683
Family Practice,"Management using the results of remote vital sign monitoring per calendar month, first 20 minutes",112230.0,39.112943849080104,412
Clinical Laboratory,"Evaluation of antimicrobial drug (antibiotic, antifungal, antiviral), microdilution or agar dilution",934245.0,8.440915370953846,130
Clinical Laboratory,"Gonadotropin, follicle stimulating (reproductive hormone) level",76011.0,18.13602465255794,107
Internal Medicine,Detection test by immunoassay with direct visual observation for severe acute respiratory syndrome coronavirus 2 (covid-19),30856.0,40.417226103330975,284
Internal Medicine,Insertion of non-tunneled central venous tube for infusion (5 years or older),3384.0,69.45240015353458,159
Internal Medicine,"Established patient custodial care facility, group care, or assisted living visit, typically 1 hour",36029.0,147.65415977809127,240
Pharmacy,Fee covid-19 vac 14 res,43248.0,38.69782977486552,496
Family Practice,Adm sarscov2 100mcg/0.5ml3rd,4546.0,39.80877392347133,157
Clinical Laboratory,"Blood test, comprehensive group of blood chemicals",7560041.0,10.406251863261005,317
Clinical Laboratory,Lactate dehydrogenase (enzyme) level,244738.0,5.940731485009938,161
Diagnostic Radiology,"X-ray of knee, 3 views",309457.0,12.41067790264414,4330
Family Practice,"Telephone medical discussion with physician, 5-10 minutes",42779.0,35.07726290414945,972
Family Practice,Adm sarscv2 30mcg trs-sucr b,24552.1,39.218362236709545,482
Diagnostic Radiology,Nuclear medicine study of liver and bile duct system,7649.0,42.286690813879055,335
Internal Medicine,Removal of polyps or growths of large bowel using an endoscope with mechanical snare,11668.0,231.63553398065574,235
Clinical Laboratory,Microsomal antibodies (autoantibody) measurement,172804.0,14.35281210737931,116
Hematology-Oncology,Biopsy and aspiration of bone marrow sample for diagnosis,3418.0,129.18832897012283,169
Internal Medicine,"Complete blood cell count (red cells, white blood cell, platelets), automated test",22589.0,6.378654185103425,146
Medical Oncology,"Infusion into a vein for therapy, prevention, or diagnosis, additional sequential infusion, 1 hour or less",76159.0,24.392460312345815,347
Diagnostic Radiology,Single contrast x-ray of small intestine,4368.0,31.692088977113883,281
Family Practice,Emergency department visit for problem of moderate severity,23851.0,53.75828562348936,517
Diagnostic Radiology,"Technetium tc-99m medronate, diagnostic, per study dose, up to 30 millicuries",10039.0,25.914553710289507,219
Internal Medicine,Test to examine how well the lungs exchange gases,31072.0,31.365521751850675,333
Hematology-Oncology,Vitamin d-3 level,21451.0,29.224926260986205,145
Diagnostic Radiology,Review by radiologist of additional artery image,7348.0,43.84159786164078,103
Clinical Laboratory,"Psa (prostate specific antigen) measurement, free",161956.0,18.00675372537207,111
Internal Medicine,Comprehensive assessment of and care planning for patients requiring chronic care management services (list separately in addition to primary monthly care management service),14616.0,47.24760246052173,203
Family Practice,"Blood count, hemoglobin",3502.0,2.339564523209091,110
Medical Oncology,"Initial hospital inpatient care per day, typically 50 minutes",6029.0,108.20124797109325,193
Family Practice,"Established patient office or other outpatient visit, 40-54 minutes",344989.0,125.4567657163996,5238
Family Practice,"Injection, methylprednisolone sodium succinate, up to 125 mg",8517.0,4.094609815801923,156
Family Practice,Vitamin d-3 level,96144.0,29.091670221554974,937
Rheumatology,"Telephone medical discussion with physician, 11-20 minutes",7225.0,58.42708223555427,173
Internal Medicine,Ferritin (blood protein) level,85882.0,13.440892785956,750
Internal Medicine,Ldl cholesterol level,59762.0,10.367891305093812,210
Internal Medicine,Removal of impacted ear wax,24485.0,34.93490170261816,804
Medical Oncology,"Immunologic analysis for detection of tumor antigen, quantitative; ca 15-3",18535.0,20.55505674141322,121
Clinical Laboratory,"Special stained specimen slides to examine tissue, each additional procedure",242641.0,53.47243793698837,162
Diagnostic Radiology,"X-ray of chest, 1 view",4511183.0,7.161645721641222,7466
Family Practice,"Influenza vaccine, quadrivalent inactivated, 0.5 ml dosage",102708.0,69.55348582179265,2233
Clinical Laboratory,Preparation of tissue for examination by removing any calcium present,40402.0,14.02759947403426,102
Hematology-Oncology,Phosphate level,63888.0,4.673865959797403,154
Diagnostic Radiology,Mri scan of blood vessels of neck before and after contrast,5367.0,136.4971346634981,255
Medical Oncology,Iron level,38374.0,6.380668450186083,194
Internal Medicine,"Influenza vaccine, quadrivalent derived from cell cultures, preservative and antibiotic free",29482.0,31.259608417607037,686
Medical Oncology,"Initial hospital inpatient care per day, typically 70 minutes",14624.0,162.52902202974292,389
Clinical Laboratory,"Blood test, clotting time",695690.0,4.235275106484376,224
Hematology-Oncology,"Red blood count, automated test",7717.0,3.911721182687942,141
Family Practice,Liver function blood test panel,21710.0,8.03635355538957,163
Family Practice,"Established patient custodial care facility, group care, or assisted living visit, typically 15 minutes",23924.0,45.217669318961164,103
Internal Medicine,Injection of drug or substance under skin or into muscle,401669.0,10.988591433897097,3624
Diagnostic Radiology,Ultrasound of both sides of head and neck blood flow,147229.0,59.29818482462346,3171
Medical Oncology,"Blood test, comprehensive group of blood chemicals",171556.0,10.404862969684983,253
Internal Medicine,"Injection, denosumab, 1 mg",1491069.0,15.921807667784726,570
Internal Medicine,"Creatine kinase (cardiac enzyme) level, total",59389.0,6.422512193759247,319
Family Practice,Fee covid-19 vac 14 res,28742.3,39.62595403692869,631
Medical Oncology,Magnesium level,30027.0,6.60749461958125,128
Family Practice,"Remote monitoring of physiologic parameters, initial set-up and patient education on use of equipment",10996.0,14.732409929224586,240
Internal Medicine,"Critical care, each additional 30 minutes",11925.0,91.89024601314027,221
Hematology-Oncology,"Infusion into a vein for therapy, prevention, or diagnosis concurrent with another infusion",19573.0,16.661210988977636,313
Pharmacy,Fee covid-19 vac 13 res,44993.0,38.789191280682736,423
Diagnostic Radiology,Nuclear medicine study from skull base to mid-thigh with ct scan,162010.0,503.68056482380683,1408
Family Practice,Emergency department visit for problem of high severity,39145.0,94.10042315527582,620
Medical Oncology,"Telephone medical discussion with physician, 11-20 minutes",5651.0,57.155786635895986,125
Diagnostic Radiology,"X-ray of ankle, minimum of 3 views",153431.0,10.140484852214113,3986
Diagnostic Radiology,"X-ray of pelvis, 1-2 views",154637.0,7.738025730475826,4055
Diagnostic Radiology,Ct scan of leg without contrast,93694.0,47.996065611128294,2424
Internal Medicine,"Advance care planning, first 30 minutes",360800.0,68.17124571537445,3291
Diagnostic Radiology,Ultrasound of one leg arteries or artery grafts,10909.0,26.072331146714312,524
Hematology-Oncology,"Infusion, normal saline solution , 1000 cc",45797.0,2.072674871257504,593
Rheumatology,"Complete blood cell count (red cells, white blood cell, platelets), automated test and automated differential white blood cell count",95198.0,7.603933936959156,213
Internal Medicine,"Annual wellness visit, includes a personalized prevention plan of service (pps), subsequent visit",1308279.0,132.26217192911602,11149
Internal Medicine,"Annual depression screening, 15 minutes",396329.0,19.137257929506607,3383
Internal Medicine,"New patient office or other outpatient visit, 60-74 minutes",63907.0,159.77132538938812,1953
Hematology-Oncology,"Administration of chemotherapy into vein, each additional hour",110285.0,24.229267203948627,876
Physical Therapist in Private Practice,Therapy procedure in a group setting,699164.0,11.163322978803256,2520
Diagnostic Radiology,"X-ray of hip, 1 view",23853.0,8.945945587964065,789
Family Practice,Cervical or vaginal cancer screening; pelvic and clinical breast examination,3222.0,40.07317455693549,124
Medical Oncology,"Injection, palonosetron hcl, 25 mcg",220829.0,0.8077793712096071,229
Diagnostic Radiology,"X-ray of shoulder, 1 view",7506.0,6.2198299162542785,321
Medical Oncology,"Follow-up hospital inpatient care per day, typically 35 minutes",62641.0,86.05774137562672,576
Family Practice,"Blood test, comprehensive group of blood chemicals",392765.0,10.379463687492313,1612
Diagnostic Radiology,Imaging of urinary tract following injection of a contrast agent,5887.0,19.52217495947893,258
Internal Medicine,"Hospital observation or inpatient care admitted and discharged on the same day for high severity problem, typically 55 minutes",4430.0,162.95274320739728,219
Family Practice,"Chronic care management services, first 20 minutes of clinical staff time directed by health care professional, per calendar month",498508.0,46.5398596195167,1253
Internal Medicine,Office or other outpatient visit for the evaluation and management of established patient that may not require presence of healthcare professional,170462.0,18.498839809896147,1400
Internal Medicine,Ultrasound of both sides of head and neck blood flow,49918.0,146.79445813177776,727
Family Practice,"Testosterone (hormone) level, total",9145.0,25.34451493596,125
Clinical Laboratory,"Psa (prostate specific antigen) measurement, total",893512.0,18.099507955382357,204
Hematology-Oncology,"Injection, epoetin alfa-epbx, biosimilar, (retacrit) (for non-esrd use), 1000 units",1421850.0,6.362381292136303,292
Internal Medicine,"Initial nursing facility visit per day, typically 35 minutes",78532.0,103.71227107682577,917
Internal Medicine,Vitamin d-3 level,166559.0,29.115866861392558,1103
Clinical Laboratory,"Urea nitrogen level to assess kidney function, quantitative",119733.0,3.8626683438625955,131
Medical Oncology,"Injection, darbepoetin alfa, 1 microgram (non-esrd use)",1754081.0,2.5047629154792084,101
Medical Oncology,"Infusion into a vein for hydration, each additional hour",17240.0,10.402996525791146,192
Internal Medicine,"Thyroxine (thyroid chemical), total",22107.0,6.796886910028946,114
Family Practice,Creatinine level to test for kidney function or muscle injury,72523.0,5.094866745834326,941
Clinical Laboratory,Glutamyltransferase (liver enzyme) level,133709.0,7.09375287385164,122
Hematology-Oncology,"Initial hospital inpatient care per day, typically 70 minutes",60744.0,162.32300531226534,1289
Hematology-Oncology,"Injection, immune globulin, (gammagard liquid), non-lyophilized, (e.g., liquid), 500 mg",541061.0,35.82125382121429,112
Internal Medicine,Exercise or drug-induced heart stress test with electrocardiogram (ecg) with review by physician,12935.0,11.153752005796509,211
Physical Therapist in Private Practice,Therapy procedure using functional activities,7622934.0,27.97962620163196,12933
Hematology-Oncology,"Injection, denosumab, 1 mg",5140490.0,16.968661806324068,777
Hematology-Oncology,"New patient office or other outpatient visit, 45-59 minutes",61585.0,121.95647451397238,1444
Pharmacy,Adm sarscov2 50mcg/0.25mlbst,46138.0,40.209633291545856,447
Hematology-Oncology,"Initial hospital inpatient care per day, typically 30 minutes",6011.0,82.65823959006434,202
Ambulance Service Provider,"Ambulance service, advanced life support, non-emergency transport, level 1 (als 1)",62477.9,241.75137342861532,390
Internal Medicine,Inhalation treatment for airway obstruction or sputum production,8827.0,9.198949508794,150
Rheumatology,"Injection, methylprednisolone sodium succinate, up to 125 mg",11218.0,4.489656825345517,145
Internal Medicine,"Remote monitoring of physiologic parameters, initial supply of devices with daily recordings or programmed alerts transmission, each 30 days",186041.0,46.556521018552466,606
Family Practice,"Follow-up nursing facility visit per day, typically 35 minutes",54538.0,105.78731557377077,402
Family Practice,Hospital observation care on day of discharge,20401.0,55.70390595175804,715
Hematology-Oncology,Ct scan of chest without contrast,5687.0,52.567858053109596,145
Diagnostic Radiology,Nuclear medicine study of stomach to assess emptying,7595.0,70.66520165401589,304
Family Practice,"Folic acid level, serum",41317.0,14.491830687353728,376
